EduType,SessionID,Delivery,ParticipantID,H1_post_ord,H1_pre,H2_post_ord,H2_pre,H3_post_ord,H3_pre,H4_post_ord,H4_pre
Evo,Evo_9,0,Evo_9-1,4,5,5,5,4,4,4,7
Evo,Evo_9,0,Evo_9-2,4,6,4,6,4,5,4,7
Evo,Evo_9,0,Evo_9-3,7,5,5,5,6,3,7,6
Evo,Evo_9,0,Evo_9-4,5,5,6,5,6,6,6,6
Evo,Evo_9,0,Evo_9-5,5,5,4,3,5,4,5,5
Evo,Evo_9,0,Evo_9-6,6,5,5,4,7,5,7,6
Evo,Evo_9,0,Evo_9-7,5,5,6,5,6,4,5,5
Evo,Evo_9,0,Evo_9-8,6,4,7,2,7,5,7,6
Evo,Evo_9,0,Evo_9-9,5,4,5,3,6,4,5,7
Evo,Evo_9,0,Evo_9-10,4,3,4,3,5,3,6,5
Evo,Evo_9,0,Evo_9-11,4,5,4,4,5,4,5,7
Evo,Evo_9,0,Evo_9-12,5,4,3,5,6,4,5,4
Evo,Evo_9,0,Evo_9-13,4,3,4,3,5,3,4,4
Evo,Evo_9,0,Evo_9-14,6,5,5,5,5,4,5,4
Evo,Evo_9,0,Evo_9-15,4,5,6,3,6,5,5,5
Gen,Gen_10,0,Gen_10-1,5,5,5,5,5,4,4,7
Gen,Gen_10,0,Gen_10-2,5,7,4,3,4,3,5,5
Gen,Gen_10,0,Gen_10-5,5,4,3,5,4,3,4,6
Gen,Gen_10,0,Gen_10-6,5,4,7,6,4,3,6,5
Gen,Gen_2,0,Gen_2-1,5,5,5,5,5,5,5,5
Gen,Gen_2,0,Gen_2-2,5,6,4,5,5,5,6,6
Gen,Gen_2,0,Gen_2-3,7,4,6,6,6,5,7,6
Gen,Gen_2,0,Gen_2-4,5,5,4,3,5,4,5,6
Gen,Gen_2,0,Gen_2-5,5,7,3,4,2,3,5,7
Gen,Gen_2,0,Gen_2-6,7,7,4,4,4,4,7,7
Gen,Gen_2,0,Gen_2-7,5,4,4,4,4,5,5,5
Gen,Gen_2,0,Gen_2-9,7,7,6,6,5,4,7,7
Gen,Gen_2,0,Gen_2-10,4,5,6,6,6,2,6,5
Gen,Gen_2,0,Gen_2-11,5,5,6,6,5,5,5,6
Gen,Gen_2,0,Gen_2-12,7,7,5,7,5,4,5,7
Gen,Gen_2,0,Gen_2-14,5,5,4,2,4,3,5,4
Gen,Gen_2,0,Gen_2-15,6,3,7,4,5,4,6,7
Gen,Gen_2,0,Gen_2-16,6,5,4,5,4,3,7,5
Gen,Gen_3,1,Gen_3-2,4,6,4,4,4,5,7,6
Gen,Gen_3,1,Gen_3-3,6,5,7,5,7,4,6,5
Gen,Gen_3,1,Gen_3-4,5,5,5,6,5,5,4,7
Gen,Gen_3,1,Gen_3-5,4,3,7,4,7,7,2,2
Gen,Gen_3,1,Gen_3-6,6,7,3,3,5,4,7,7
Gen,Gen_3,1,Gen_3-7,4,7,5,6,7,4,7,7
Gen,Gen_3,1,Gen_3-8,5,6,5,6,5,6,5,5
Gen,Gen_3,1,Gen_3-10,5,5,4,6,5,3,5,5
Gen,Gen_3,1,Gen_3-11,5,5,5,5,5,4,4,5
Gen,Gen_3,1,Gen_3-12,7,7,7,5,6,7,4,7
Gen,Gen_4,0,Gen_4-1,7,5,5,2,7,3,6,7
Gen,Gen_4,0,Gen_4-4,5,5,5,4,5,5,5,5
Gen,Gen_4,0,Gen_4-5,6,3,5,3,5,3,6,7
Gen,Gen_4,0,Gen_4-6,5,5,5,3,4,4,5,6
Gen,Gen_5,0,Gen_5-1,6,5,4,3,4,4,5,5
Gen,Gen_5,0,Gen_5-2,5,5,3,3,4,4,5,6
Gen,Gen_5,0,Gen_5-3,5,5,4,3,4,4,5,6
Gen,Gen_5,0,Gen_5-4,6,4,4,3,4,1,7,7
Gen,Gen_6,0,Gen_6-2,5,4,5,4,5,5,5,5
Gen,Gen_6,0,Gen_6-3,4,6,5,5,5,3,5,6
Gen,Gen_6,0,Gen_6-4,3,3,5,5,2,3,3,3
Gen,Gen_6,0,Gen_6-5,7,7,4,1,6,3,5,5
Gen,Gen_7,1,Gen_7-1,4,6,5,4,3,5,5,5
Gen,Gen_7,1,Gen_7-2,3,6,5,5,5,2,4,5
Gen,Gen_7,1,Gen_7-3,7,7,5,4,7,4,7,7
Gen,Gen_7,1,Gen_7-4,2,2,5,5,5,5,5,2
Gen,Gen_7,1,Gen_7-5,3,5,4,4,2,4,3,6
Gen,Gen_7,1,Gen_7-6,5,5,3,3,5,5,5,5
Gen,Gen_8,0,Gen_8-1,5,5,5,3,5,5,5,5
Gen,Gen_8,0,Gen_8-2,4,5,6,5,5,3,3,4
Gen,Gen_8,0,Gen_8-3,2,6,3,5,2,4,3,5
Gen,Gen_8,0,Gen_8-4,3,7,3,5,3,5,3,6
Gen,Gen_8,0,Gen_8-5,6,5,5,5,6,5,6,5
Gen,Gen_8,0,Gen_8-6,7,7,6,7,6,5,7,6
Gen,Gen_8,0,Gen_8-7,4,4,4,5,3,3,4,5
Gen,Gen_8,0,Gen_8-8,4,4,4,6,6,3,6,7
Gen,Gen_8,0,Gen_8-9,4,5,4,5,6,4,5,5
Gen,Gen_8,0,Gen_8-10,2,5,3,5,2,4,2,4
Gen,Gen_8,0,Gen_8-11,6,6,6,4,6,6,6,5
Gen,Gen_8,0,Gen_8-12,5,6,4,5,4,7,7,7
Gen,Gen_8,0,Gen_8-14,4,4,5,4,4,4,5,5
Gen,Gen_8,0,Gen_8-15,4,6,4,4,3,6,6,7
Gen,Gen_8,0,Gen_8-16,5,5,5,5,5,4,5,6
Gen,Gen_8,0,Gen_8-17,2,5,4,5,3,5,4,5
Gen,Gen_8,0,Gen_8-18,4,6,6,4,5,2,5,5
Gen,Gen_8,0,Gen_8-19,3,5,4,5,3,4,2,4
Gen,Gen_8,0,Gen_8-20,5,5,5,5,5,4,5,5
Gen,Gen_9,0,Gen_9-2,4,4,4,6,4,6,4,4
Gen,Gen_9,0,Gen_9-3,6,7,5,4,5,5,6,6
Gen,Gen_9,0,Gen_9-5,5,5,4,6,3,2,6,6
Gen,Gen_9,0,Gen_9-6,6,2,4,5,6,3,6,5
Gen,Gen_9,0,Gen_9-7,6,6,6,6,6,5,6,6
